time [s/256],breathing_rate [rpm](/api/datatype/33/),minute_ventilation [mL/min](/api/datatype/36/),sleep_position [NA](/api/datatype/270/),activity [g](/api/datatype/49/),heart_rate [bpm](/api/datatype/19/),cadence [spm](/api/datatype/53/)
443769934592,11,17556.16,,0.046875,120,0
443769934848,11,17556.16,,0.125,120,0
443769935104,11,17556.16,,0.1171875,118,0
443769935360,11,17556.16,,0.02734375,117,0
443769935616,11,17556.16,,0.16796875,115,0
443769935872,11,17556.16,,0.11328125,114,0
443769936128,11,15325.119999999999,,0.05859375,112,0
443769936384,11,15325.119999999999,,0.015625,111,0
443769936640,10,15325.119999999999,,0.03515625,110,0
443769936896,10,15325.119999999999,,0.08984375,108,0
443769937152,10,15325.119999999999,,0.109375,107,0
443769937408,10,15325.119999999999,,0.0546875,108,0
443769937664,10,15325.119999999999,,0.01953125,109,0
443769937920,10,15325.119999999999,,0.03515625,109,0
443769938176,10,15325.119999999999,,0.09765625,110,0
443769938432,10,14886.88,,0.08984375,110,0
443769938688,10,14886.88,,0.02734375,110,0
443769938944,9,14886.88,,0.015625,110,0
443769939200,9,14886.88,,0.03125,110,0
443769939456,9,14886.88,,0.0546875,110,0
443769939712,9,14886.88,,0.04296875,109,0
443769939968,9,14886.88,,0.01953125,109,0
443769940224,9,14886.88,,0.01953125,109,0
443769940480,9,14156.48,,0.0,108,0
443769940736,9,14156.48,,0.0,108,0
443769940992,9,14156.48,,0.0,104,0
443769941248,9,14156.48,,0.015625,104,0
443769941504,9,14156.48,,0.0,99,0
443769941760,9,14156.48,,0.015625,94,0
443769942016,9,13173.76,,0.03125,89,0
443769942272,9,13173.76,,0.0546875,86,0
443769942528,9,13173.76,,0.01953125,87,0
443769942784,9,13173.76,,0.015625,89,0
443769943040,9,13173.76,,0.015625,89,0
443769943296,9,13173.76,,0.1484375,89,0
443769943552,9,13173.76,,0.1171875,87,0
443769943808,9,12735.519999999999,,0.08984375,84,0
443769944064,9,12735.519999999999,,0.05078125,80,0
443769944320,9,12735.519999999999,,0.03125,79,0
443769944576,9,12735.519999999999,,0.140625,80,0
443769944832,9,11885.599999999999,,0.0859375,83,0
443769945088,9,11885.599999999999,,0.12890625,84,0
443769945344,9,11885.599999999999,,0.0546875,85,0
443769945600,9,11885.599999999999,,0.0234375,85,0
443769945856,9,11885.599999999999,,0.1484375,82,0
443769946112,9,12217.599999999999,,0.15625,82,0
443769946368,9,12217.599999999999,,0.15234375,82,0
443769946624,9,12217.599999999999,,0.0390625,80,0
443769946880,9,12217.599999999999,,0.015625,79,0
443769947136,9,12217.599999999999,,0.03515625,83,0
443769947392,9,12230.88,,0.15234375,85,0
443769947648,9,12230.88,,0.1484375,87,0
443769947904,9,12230.88,,0.06640625,87,0
443769948160,9,12230.88,,0.07421875,88,0
443769948416,9,11805.92,,0.015625,89,0
443769948672,10,11805.92,,0.015625,89,0
443769948928,10,11805.92,,0.0234375,90,0
443769949184,11,12722.24,,0.07421875,93,0
443769949440,12,12722.24,,0.046875,97,0
443769949696,12,12722.24,,0.0,98,0
443769949952,12,12722.24,,0.0234375,98,0
443769950208,12,13253.439999999999,,0.04296875,98,0
443769950464,13,13253.439999999999,,0.01953125,99,0
443769950720,13,13253.439999999999,,0.0,100,0
443769950976,13,13253.439999999999,,0.01953125,100,0
443769951232,13,13253.439999999999,,0.015625,99,0
443769951488,13,13253.439999999999,,0.0,98,0
443769951744,13,13253.439999999999,,0.0,97,0
443769952000,13,13027.679999999998,,0.0,94,0
443769952256,13,13027.679999999998,,0.0,93,0
443769952512,13,13027.679999999998,,0.01953125,92,0
443769952768,13,13293.279999999999,,0.0390625,91,0
443769953024,13,13293.279999999999,,0.1796875,92,0
443769953280,13,13293.279999999999,,0.0546875,92,0
443769953536,14,13293.279999999999,,0.015625,92,0
443769953792,14,13293.279999999999,,0.0,92,0
443769954048,14,13293.279999999999,,0.0,92,0
443769954304,13,13293.279999999999,,0.0,92,0
443769954560,13,13293.279999999999,,0.0,89,0
443769954816,13,13293.279999999999,,0.0,87,0
443769955072,14,13293.279999999999,,0.09375,86,0
443769955328,13,9110.08,,0.109375,86,0
443769955584,12,9110.08,,0.08203125,86,0
443769955840,12,9110.08,,0.0,86,0
443769956096,11,9110.08,,0.0,86,0
443769956352,11,9110.08,,0.0,86,0
443769956608,11,9256.16,,0.0,84,0
443769956864,12,9256.16,,0.015625,80,0
443769957120,12,9256.16,,0.0,76,0
443769957376,12,9667.84,,0.0,75,0
443769957632,12,9667.84,,0.1015625,74,0
443769957888,12,9667.84,,0.09765625,77,0
443769958144,12,9667.84,,0.0859375,80,0
443769958400,12,9667.84,,0.09765625,81,0
443769958656,12,9495.199999999999,,0.16015625,85,0
