time [s/256],breathing_rate [rpm](/api/datatype/33/),minute_ventilation [mL/min](/api/datatype/36/),sleep_position [NA](/api/datatype/270/),activity [g](/api/datatype/49/),heart_rate [bpm](/api/datatype/19/),cadence [spm](/api/datatype/53/)
443769924864,14,16692.96,,0.01953125,67,0
443769925120,14,16692.96,,0.0390625,68,0
443769925376,15,16692.96,,0.05859375,69,0
443769925632,15,16692.96,,0.03125,70,0
443769925888,15,16692.96,,0.03515625,71,0
443769926144,14,16692.96,,0.04296875,72,0
443769926400,15,19840.32,,0.01953125,72,0
443769926656,15,19840.32,,0.01953125,72,0
443769926912,15,19840.32,,0.015625,73,0
443769927168,15,19840.32,,0.015625,73,0
443769927424,15,19840.32,,0.0234375,73,0
443769927680,15,19481.76,,0.046875,71,0
443769927936,15,19481.76,,0.0234375,70,0
443769928192,15,19481.76,,0.05859375,70,0
443769928448,15,19481.76,,0.0390625,71,0
443769928704,15,22044.8,,0.07421875,71,0
443769928960,15,22044.8,,0.0703125,72,0
443769929216,15,22044.8,,0.06640625,72,0
443769929472,14,22044.8,,0.0234375,71,0
443769929728,14,22044.8,,0.015625,71,0
443769929984,14,22044.8,,0.01953125,71,0
443769930240,15,22044.8,,0.0234375,71,0
443769930496,15,22044.8,,0.015625,71,0
443769930752,15,22044.8,,0.015625,70,0
443769931008,14,19043.52,,0.015625,70,0
443769931264,13,19043.52,,0.015625,70,0
443769931520,13,19043.52,,0.015625,69,0
443769931776,12,19043.52,,0.015625,70,0
443769932032,12,19043.52,,0.0,69,0
443769932288,12,19043.52,,0.02734375,68,0
443769932544,13,19043.52,,0.05078125,67,0
443769932800,13,19043.52,,0.02734375,67,0
443769933056,13,19043.52,,0.01953125,67,0
443769933312,12,17423.36,,0.0546875,67,0
443769933568,11,17423.36,,0.0390625,67,0
443769933824,10,17423.36,,0.03125,66,0
443769934080,10,17423.36,,0.015625,66,0
443769934336,10,17423.36,,0.01953125,66,0
443769934592,10,17423.36,,0.03125,67,0
443769934848,10,17423.36,,0.04296875,69,0
443769935104,10,16294.56,,0.02734375,70,0
443769935360,10,16294.56,,0.02734375,70,0
443769935616,10,16294.56,,0.01953125,71,0
443769935872,9,16294.56,,0.0390625,73,0
443769936128,9,16294.56,,0.04296875,73,0
443769936384,9,16799.2,,0.0859375,73,0
443769936640,9,16799.2,,0.0234375,73,0
443769936896,9,16799.2,,0.01953125,73,0
443769937152,9,16799.2,,0.015625,73,0
443769937408,9,16799.2,,0.0,74,0
443769937664,9,16799.2,,0.01953125,73,0
443769937920,9,16799.2,,0.12109375,74,0
443769938176,9,16799.2,,0.08984375,75,0
