time [s/256],breathing_rate [rpm](/api/datatype/33/),minute_ventilation [mL/min](/api/datatype/36/),sleep_position [NA](/api/datatype/270/),activity [g](/api/datatype/49/),heart_rate [bpm](/api/datatype/19/),cadence [spm](/api/datatype/53/)
443769939200,22,20544.16,,0.0859375,94,0
443769939456,22,20743.36,,0.05859375,94,0
443769939712,22,20743.36,,0.11328125,94,0
443769939968,22,20743.36,,0.0703125,96,0
443769940224,22,20743.36,,0.12109375,97,0
443769940480,22,20398.079999999998,,0.1015625,99,0
443769940736,22,20398.079999999998,,0.0625,100,0
443769940992,22,20398.079999999998,,0.0234375,102,0
443769941248,22,17489.76,,0.06640625,103,0
443769941504,21,17489.76,,0.05859375,104,0
443769941760,21,18193.6,,0.0234375,103,0
443769942016,21,18193.6,,0.03515625,102,0
443769942272,21,18113.92,,0.01953125,101,0
443769942528,20,18113.92,,0.015625,101,0
443769942784,20,18113.92,,0.0,100,0
443769943040,20,18113.92,,0.0,99,0
443769943296,20,18113.92,,0.015625,98,0
443769943552,20,18592.0,,0.109375,95,0
443769943808,21,18592.0,,0.12109375,94,0
443769944064,21,18087.36,,0.015625,92,0
443769944320,21,18087.36,,0.01953125,91,0
443769944576,21,16533.6,,0.0,91,0
443769944832,21,16533.6,,0.01953125,90,0
443769945088,21,16586.719999999998,,0.015625,88,0
443769945344,22,16586.719999999998,,0.015625,88,0
443769945600,23,16586.719999999998,,0.015625,87,0
443769945856,23,15776.64,,0.015625,86,0
443769946112,23,15776.64,,0.09375,85,0
443769946368,23,13612.0,,0.0703125,85,0
443769946624,23,13612.0,,0.02734375,86,0
443769946880,23,12350.4,,0.0,86,0
443769947136,23,12350.4,,0.05859375,87,0
443769947392,24,14342.4,,0.18359375,88,0
443769947648,25,14342.4,,0.1171875,90,0
443769947904,27,14289.279999999999,,0.01953125,90,0
443769948160,28,14289.279999999999,,0.02734375,90,0
443769948416,28,14289.279999999999,,0.1171875,90,0
443769948672,28,14608.0,,0.09765625,92,0
443769948928,27,14608.0,,0.046875,92,0
443769949184,26,14608.0,,0.015625,93,0
443769949440,26,15630.56,,0.02734375,94,0
443769949696,25,15630.56,,0.0,95,0
443769949952,25,15630.56,,0.0,95,0
443769950208,24,15511.039999999999,,0.0,96,0
443769950464,24,15511.039999999999,,0.0,97,0
443769950720,24,15511.039999999999,,0.015625,99,0
443769950976,24,15511.039999999999,,0.0,99,0
443769951232,24,15511.039999999999,,0.0,100,0
443769951488,24,14873.599999999999,,0.0,99,0
443769951744,23,14873.599999999999,,0.015625,98,0
443769952000,22,15604.0,,0.0,97,0
443769952256,21,15604.0,,0.015625,97,0
443769952512,21,15604.0,,0.0,98,0
443769952768,21,15205.599999999999,,0.015625,98,0
443769953024,20,15205.599999999999,,0.0,97,0
443769953280,20,15205.599999999999,,0.01953125,97,0
443769953536,20,15205.599999999999,,0.07421875,97,0
443769953792,20,15205.599999999999,,0.015625,97,0
443769954048,20,15205.599999999999,,0.01953125,97,0
443769954304,20,15205.599999999999,,0.015625,98,0
443769954560,20,15205.599999999999,,0.015625,99,0
443769954816,20,15205.599999999999,,0.0,99,0
443769955072,20,15205.599999999999,,0.015625,98,0
443769955328,20,15205.599999999999,,0.015625,97,0
443769955584,19,10570.88,,0.015625,96,0
443769955840,16,10570.88,,0.01953125,96,0
443769956096,14,10570.88,,0.04296875,95,0
443769956352,14,10570.88,,0.0546875,95,0
443769956608,14,10570.88,,0.015625,95,0
443769956864,14,10570.88,,0.0,94,0
443769957120,14,10398.24,,0.0,94,0
443769957376,13,10398.24,,0.0,94,0
443769957632,13,10398.24,,0.0,94,0
443769957888,12,9309.279999999999,,0.0390625,94,0
443769958144,13,9309.279999999999,,0.12109375,95,0
443769958400,13,9309.279999999999,,0.05078125,95,0
443769958656,13,9402.24,,0.01953125,95,0
443769958912,13,9402.24,,0.015625,95,0
443769959168,13,10185.76,,0.0546875,94,0
443769959424,13,10185.76,,0.03125,94,0
443769959680,14,10185.76,,0.13671875,94,0
443769959936,14,10185.76,,0.109375,95,0
443769960192,14,9269.439999999999,,0.1328125,95,0
443769960448,13,9269.439999999999,,0.11328125,97,0
443769960704,13,8233.6,,0.1484375,99,0
443769960960,13,8233.6,,0.05078125,99,0
443769961216,13,8233.6,,0.01953125,98,0
443769961472,14,8233.6,,0.03515625,98,0
443769961728,14,11792.64,,0.10546875,98,0
443769961984,16,11792.64,,0.13671875,97,0
443769962240,18,12151.199999999999,,0.16796875,97,0
443769962496,20,12151.199999999999,,0.1484375,96,0
443769962752,21,15125.92,,0.16796875,95,0
443769963008,22,15125.92,,0.265625,93,0
443769963264,23,15125.92,,0.05859375,93,0
443769963520,23,14461.92,,0.078125,93,0
443769963776,22,14461.92,,0.22265625,96,0
443769964032,21,14461.92,,0.296875,96,0
443769964288,21,25869.44,,0.01953125,95,0
443769964544,20,25869.44,,0.015625,95,0
443769964800,20,25869.44,,0.12109375,94,0
443769965056,21,28339.52,,0.265625,94,0
443769965312,22,28339.52,,0.18359375,95,0
443769965568,23,28459.039999999997,,0.10546875,97,0
443769965824,23,28459.039999999997,,0.0625,98,0
443769966080,23,31832.16,,0.09765625,98,0
443769966336,24,31832.16,,0.09765625,98,0
443769966592,26,31832.16,,0.08984375,99,0
443769966848,26,31832.16,,0.08203125,103,0
443769967104,25,28127.039999999997,,0.04296875,106,0
443769967360,24,28127.039999999997,,0.07421875,108,0
443769967616,22,28127.039999999997,,0.0390625,109,0
443769967872,22,25603.84,,0.046875,109,0
443769968128,21,25603.84,,0.03515625,109,0
443769968384,21,27888.0,,0.0234375,108,0
443769968640,22,27888.0,,0.0234375,107,0
